title,index,Abstract
Hippocampal transcriptome-wide association study and pathway analysis of mitochondrial solute carriers in Alzheimer’s disease,"['784 Accesses', '7 Altmetric']","The etiopathogenesis of late-onset Alzheimer’s disease (AD) is increasingly recognized as the result of the combination of the aging process, toxic proteins, brain dysmetabolism, and genetic risks. Although the role of mitochondrial dysfunction in the pathogenesis of AD has been well-appreciated, the interaction between mitochondrial function and genetic variability in promoting dementia is still poorly understood. In this study, by tissue-specific transcriptome-wide association study (TWAS) and further meta-analysis, we examined the genetic association between mitochondrial solute carrier family (SLC25) genes and AD in three independent cohorts and identified three AD-susceptibility genes, including SLC25A10, SLC25A17, and SLC25A22. Integrative analysis using neuroimaging data and hippocampal TWAS-predicted gene expression of the three susceptibility genes showed an inverse correlation of SLC25A22 with hippocampal atrophy rate in AD patients, which outweighed the impacts of sex, age, and apolipoprotein E4 (ApoE4). Furthermore, SLC25A22 downregulation demonstrated an association with AD onset, as compared with the other two transcriptome-wide significant genes. Pathway and network analysis related hippocampal SLC25A22 downregulation to defects in neuronal function and development, echoing the enrichment of SLC25A22 expression in human glutamatergic neurons. The most parsimonious interpretation of the results is that we have identified AD-susceptibility genes in the SLC25 family through the prediction of hippocampal gene expression. Moreover, our findings mechanistically yield insight into the mitochondrial cascade hypothesis of AD and pave the way for the future development of diagnostic tools for the early prevention of AD from a perspective of precision medicine by targeting the mitochondria-related genes."
De novo genome assembly and transcriptome sequencing in foot and mantle tissues of Megaustenia siamensis reveals components of adhesive substances,"['333 Accesses', '1 Altmetric']","The semislug Megaustenia siamensis, commonly found in Thailand, is notable for its exceptional capacity to produce biological adhesives, enabling it to adhere to tree leaves even during heavy rainfall. In this study, we generated the first reference genome for M. siamensis using a combination of three sequencing technologies: Illumina’s short-read, Pac-Bio’s HIFI long-read, and Hi-C. The assembled genome size was 2593 billion base pairs (bp), containing 34,882 protein-coding genes. Our analysis revealed positive selection in pathways associated with the ubiquitin–proteasome system. Furthermore, RNA sequencing of foot and mantle tissues unveiled the primary constituents of the adhesive, including lectin-like proteins (C-lectin, H-lectin, and C1q) and matrilin-like proteins (VWA and EGF). Additionally, antimicrobial peptides were identified. The comprehensive M. siamensis genome and tissue-specific transcriptomic data provided here offer valuable resources for understanding its biology and exploring potential medical applications."
Combined transcriptome and genome analysis of single micrometastatic cells,"['2862 Accesses', '240 Citations', '11 Altmetric']","In human cancer, early systemic spread of tumor cells is recognized as a leading cause of death. Adjuvant therapies are administered to patients after complete resectioning of their primary tumors to eradicate the few residual and latent metastatic cells. These therapeutic regimens, however, are currently designed without direct information about the presence or nature of the latent cells. To address this problem, we developed a PCR-based technique to analyze the transcriptome of individual tumor cells isolated from the bone marrow of cancer patients. From the same cells, genomic aberrations were identified by comparative genomic hybridization. The utility of this approach for understanding the biology of occult disseminated cells and for the identification of new therapeutic targets is demonstrated here by the detection of frequent extracellular matrix metalloproteinase inducer (EMMPRIN; CD147) expression which was verified by immunostaining."
Coincidence between transcriptome analyses on different microarray platforms using a parametric framework,['119 Accesses'],"A parametric framework for the analysis of transcriptome data is demonstrated to yield coincident results when applied to data acquired using two different microarray platforms. Discrepancies among transcriptome studies are frequently reported, casting doubt on the reliability of collected data. The inconsistency among observations can be largely attributed to differences among the analytical frameworks employed for data analysis. The existing frameworks normalizes data against a standard determined from the data to be analyzed. In the present study, a parametric framework based on a strict model for normalization is applied to data acquired using an in-house printed chip and GeneChip. The framework is based on a common statistical characteristic of microarray data, and each data is normalized on the basis of a linear relationship with this model. In the proposed framework, the expressional changes observed and genes selected are coincident between platforms, achieving superior universality of data compared to other methods."
RNA-seq-based transcriptome profiling of early fruit development in Chieh-qua and analysis of related transcription factors,['241 Accesses'],"Chieh-qua (Benincasa hispida Cogn. var. Chieh-qua How.) fruit development starts post pollination. With the continuous expansion of the fruit, the soluble solid content of the fruit decreases. Because there are no reports on the early development of Chieh-qua fruit, this study compared fruit transcriptomes at 0-, 3-, and 7 day post pollination (dpp). 104,747 unigenes were assembled from clean reads and compared using six public databases for similarity searching. Compared with those of 0 dpp (C), there were differences in the expression of 12,982 and 6541 genes in the fruit tissue at 3 dpp and 7 dpp, respectively. Compared with 3 dpp (B), there were 14,314 differentially expressed genes in the fruit at 7 dpp (A). Based on the analysis of transcription factors, 213 nucleotides in the MYB superfamily were identified; among them, 94 unigenes of the MYB superfamily were differentially expressed at the three stages. In the pairwise comparison of differential expression, eight unigenes (Gene_id: TRINITY_DN32880_c1_g2, TRINITY_DN35142_c2_g2, TRINITY_DN32454_c11_g6, TRINITY_DN34105_c2_g7, TRINITY_DN32758_c3_g3, TRINITY_DN33604_c4_g10, TRINITY_DN34466_c3_g1, TRINITY_DN35924_c3_g2) were homologous to those of MYB59, MYB-GT3b, MYB18, MYB4, MYB108, MYB306, MYB340, and MYB-bHLH13. These unigenes differed significantly among the three stages. Furthermore, MYB59 and MYB18 exhibited higher expression at 7 dpp. MYB4, MYB-GT3b, MYB108, and MYB306 showed the highest expression levels in fruits at 3 dpp. In addition, MYB340 and MYB-bHLH13 showed higher expression levels during the unpollinated stage. MYB59, MYB-GT3b, MYB18, MYB4, MYB108, MYB306, MYB340, and MYB-bHLH13 may play crucial roles in Chieh-qua fruit development, defense, and blossoming. This study provides a basis for further investigation of MYB superfamily genes involved in early fruit expansion in chieh-qua."
Transcriptome analysis reveals genes associated with late blight resistance in potato,['264 Accesses'],"Late blight is a serious disease of potato worldwide. Our study aimed to unveil genes involved in late blight resistance in potato by RNA-seq analysis after artificial inoculation under controlled conditions. In this study, two potato somatic hybrids (P7 and Crd6) and three varieties such as Kufri Girdhari, Kufri Jyoti and Kufri Bahar (control) were used. Transcriptiome analysis revealed statistically significant (p < 0.05) differentially expressed genes (DEGs), which were analysed into up-regulated and down-regulated genes. Further, DEGs were functionally characterized by the Gene Ontology annotations and the Kyoto Encyclopedia of Genes and Genomes pathways. Overall, some of the up-regulated genes in resistant genotypes were disease resistance proteins such as CC-NBS-LRR resistance protein, ankyrin repeat family protein, cytochrome P450, leucine-rich repeat family protein/protein kinase family, and MYB transcription factor. Sequence diversity analysis based on 38 peptide sequences representing 18 genes showed distinct variation and the presence of three motifs in 15 amino acid sequences. Selected genes were also validated by real-time quantitative polymerase chain reaction analysis. Interestingly, gene expression markers were developed for late blight resistant genotypes. Our study elucidates genes involved in imparting late blight resistance in potato, which will be beneficial for its management strategies in the future."
Transcriptome analysis of cynomolgus macaques throughout their lifespan reveals age-related immune patterns,"['590 Accesses', '18 Altmetric']","Despite the different perspectives by diverse research sectors spanning several decades, aging research remains uncharted territory for human beings. Therefore, we investigated the transcriptomic characteristics of eight male healthy cynomolgus macaques, and the annual sampling was designed with two individuals in four age groups. As a laboratory animal, the macaques were meticulously shielded from all environmental factors except aging. The results showed recent findings of certain immune response and the age-associated network of primate immunity. Three important aging patterns were identified and each gene clusters represented a different immune response. The increased expression pattern was predominantly associated with innate immune cells, such as Neutrophils and NK cells, causing chronic inflammation with aging whereas the other two decreased patterns were associated with adaptive immunity, especially “B cell activation” affecting antibody diversity of aging. Furthermore, the hub gene network of the patterns reflected transcriptomic age and correlated with human illness status, aiding in future human disease prediction. Our macaque transcriptome profiling results offer systematic insights into the age-related immunological features of primates."
Direct RNA sequencing coupled with adaptive sampling enriches RNAs of interest in the transcriptome,"['8566 Accesses', '13 Altmetric']","Abundant cellular transcripts occupy most of the sequencing reads in the transcriptome, making it challenging to assay for low-abundant transcripts. Here, we utilize the adaptive sampling function of Oxford Nanopore sequencing to selectively deplete and enrich RNAs of interest without biochemical manipulation before sequencing. Adaptive sampling performed on a pool of in vitro transcribed RNAs resulted in a net increase of 22-30% in the proportion of transcripts of interest in the population. Enriching and depleting different proportions of the Candida albicans transcriptome also resulted in a 11-13.5% increase in the number of reads on target transcripts, with longer and more abundant transcripts being more efficiently depleted. Depleting all currently annotated Candida albicans transcripts did not result in an absolute enrichment of remaining transcripts, although we identified 26 previously unknown transcripts and isoforms, 17 of which are antisense to existing transcripts. Further improvements in the adaptive sampling of RNAs will allow the technology to be widely applied to study RNAs of interest in diverse transcriptomes."
A spatial transcriptome map of the developing maize ear,"['3171 Accesses', '1 Citations', '28 Altmetric']","A comprehensive understanding of inflorescence development is crucial for crop genetic improvement, as inflorescence meristems give rise to reproductive organs and determine grain yield. However, dissecting inflorescence development at the cellular level has been challenging owing to a lack of specific marker genes to distinguish among cell types, particularly in different types of meristems that are vital for organ formation. In this study, we used spatial enhanced resolution omics-sequencing (Stereo-seq) to construct a precise spatial transcriptome map of the developing maize ear primordium, identifying 12 cell types, including 4 newly defined cell types found mainly in the inflorescence meristem. By extracting the meristem components for detailed clustering, we identified three subtypes of meristem and validated two MADS-box genes that were specifically expressed at the apex of determinate meristems and involved in stem cell determinacy. Furthermore, by integrating single-cell RNA transcriptomes, we identified a series of spatially specific networks and hub genes that may provide new insights into the formation of different tissues. In summary, this study provides a valuable resource for research on cereal inflorescence development, offering new clues for yield improvement."
Single-cell transcriptome analysis reveals secretin as a hallmark of human enteroendocrine cell maturation,['358 Accesses'],"The traditional nomenclature of enteroendocrine cells (EECs), established in 1977, applied the “one cell - one hormone” dogma, which distinguishes subpopulations based on the secretion of a specific hormone. These hormone-specific subpopulations included S cells for secretin (SCT), K cells for glucose-dependent insulinotropic polypeptide (GIP), N cells producing neurotensin (NTS), I cells producing cholecystokinin (CCK), D cells producing somatostatin (SST), and others. In the past 15 years, reinvestigations into murine and human organoid-derived EECs, however, strongly questioned this dogma and established that certain EECs coexpress multiple hormones. Using the Gut Cell Atlas, the largest available single-cell transcriptome dataset of human intestinal cells, this study consolidates that the original dogma is outdated not only for murine and human organoid-derived EECs, but also for primary human EECs, showing that the expression of certain hormones is not restricted to their designated cell type. Moreover, specific analyses into SCT-expressing cells reject the presence of any cell population that exhibits significantly elevated secretin expression compared to other cell populations, previously referred to as S cells. Instead, this investigation indicates that secretin production is realized jointly by other enteroendocrine subpopulations, validating corresponding observations in murine EECs also for human EECs. Furthermore, our findings corroborate that SCT expression peaks in mature EECs, in contrast, progenitor EECs exhibit markedly lower expression levels, supporting the hypothesis that SCT expression is a hallmark of EEC maturation."
